,AVERAGE_MEMORY_USAGE,STD_MEMORY_USAGE,CV_MEMORY_USAGE,MIN_MEMORY_USAGE,MAX_MEMORY_USAGE
TOTAL_USAGE,31.996893001642427,4.955609625816886,39.802684448734624,10.4,32.0
BASE_USAGE,11.342333333333332,0.05203737972735438,0.45878901807994577,11.2,11.5
SERVER_USAGE,3.7633333333333336,0.4994008632573858,13.27017351436809,11.4,15.4
WORKFLOW_USAGE,16.891226334975762,4.404171382832146,26.073721916286587,14.1,32.0
