,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE
TOTAL_USAGE,0.0,10.4,0.0
BASE_USAGE,1.475,11.2,0.0
SERVER_USAGE,1.5,11.4,0.0
WORKFLOW_USAGE,1.75,14.1,0.0
