,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE
TOTAL_USAGE,100.0,32.0,0.9000000000000057
BASE_USAGE,14.175,11.5,0.0
SERVER_USAGE,43.475,15.4,0.0
WORKFLOW_USAGE,100.0,32.0,0.9000000000000057
