,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE
TOTAL_USAGE,100.0,37.3,0.6000000000000085
BASE_USAGE,51.1,15.3,0.0
SERVER_USAGE,73.45,20.2,0.10000000000000853
WORKFLOW_USAGE,100.0,37.3,0.6000000000000085
