,AVERAGE_CPU_USAGE,AVERAGE_MEMORY_USAGE,AVERAGE_DISK_USAGE,STD_CPU_USAGE,STD_MEMORY_USAGE,STD_DISK_USAGE,CV_CPU_USAGE,CV_MEMORY_USAGE,CV_DISK_USAGE,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE,SENT_BYTES,RECEIVED_BYTES
TOTAL_USAGE,27.545582570673172,38.11465954850519,0.26623713646533254,31.06729205135452,6.498260152107578,0.06467032732907586,381.5803489093435,60.19565282626854,1241.9428016901322,0.0,11.0,0.0,100.0,37.3,0.6000000000000085,25.650944352149963,25.195410853251815
BASE_USAGE,3.3219166666666666,11.828999999999999,0.0,3.998960395284699,0.40823890064519824,0.0,120.38111718489925,3.4511700113720374,0.0,1.5,11.6,0.0,51.1,15.3,0.0,7.735565304756165e-06,2.764444798231125e-05
SERVER_USAGE,6.819333333333333,4.503000000000002,0.0006666666666667235,11.848730263372808,1.6340469189510232,0.008137703743823166,173.75203240843888,36.2879617799472,1220.655561573371,1.5,15.3,0.0,73.45,20.2,0.10000000000000853,0.00041977409273386,0.0005532130599021912
WORKFLOW_USAGE,17.404332570673173,21.782659548505187,0.26557046979866583,15.219601392697012,4.455974332511357,0.0565326235852527,87.44719931600538,20.456521034949308,21.28724011676117,1.975,16.8,0.0,100.0,37.3,0.6000000000000085,25.650516842491925,25.19482999574393
