,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE
TOTAL_USAGE,0.0,11.0,0.0
BASE_USAGE,1.5,11.6,0.0
SERVER_USAGE,1.5,15.3,0.0
WORKFLOW_USAGE,1.975,16.8,0.0
