Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
225,18.950000000000003,14.3,0.0
226,20.450000000000003,14.4,0.0
227,39.175,14.6,0.0
228,20.65,14.6,0.0
229,41.45,14.5,0.0
230,41.15,14.5,0.0
231,8.775,14.5,0.0
232,25.25,14.6,0.0
233,24.275,14.6,0.0
234,14.95,14.5,0.0
235,3.75,14.5,0.0
236,0.75,14.5,0.0
237,1.5,14.5,0.0
238,3.5,14.5,0.0
239,4.475,14.5,0.0
240,29.85,11.4,0.0
241,16.450000000000003,11.1,0.0
242,4.625,11.1,0.0
243,8.375,11.1,0.0
244,5.925,11.1,0.0
245,4.275,11.1,0.0
246,3.825,11.1,0.0
247,2.25,11.1,0.0
248,4.025,11.1,0.0
249,4.6,11.1,0.0
250,9.65,11.1,0.0
251,3.95,11.1,0.0
252,1.5,11.1,0.0
253,1.5,11.1,0.0
254,1.5,11.1,0.0
255,2.25,11.1,0.0
256,0.75,11.1,0.0
257,2.2,11.1,0.0
258,1.25,11.1,0.0
259,2.0,11.1,0.0
260,1.0,11.1,0.0
261,1.25,11.1,0.0
262,1.75,11.1,0.0
263,1.5,11.1,0.0
264,1.5,11.1,0.0
265,1.75,11.1,0.0
266,2.475,11.1,0.0
267,1.475,11.1,0.0
268,0.75,11.1,0.0
269,1.5,11.1,0.0
270,1.0,11.1,0.0
271,1.5,11.1,0.0
272,0.75,11.1,0.0
273,1.75,11.1,0.0
274,1.5,11.1,0.0
275,1.75,11.1,0.0
276,1.0,11.1,0.0
277,1.25,11.1,0.0
278,1.25,11.1,0.0
279,1.25,11.1,0.0
280,1.0,11.1,0.0
281,1.75,11.1,0.0
282,1.0,11.1,0.0
283,1.725,11.1,0.0
284,1.75,11.1,0.0
285,1.5,11.1,0.0
286,1.25,11.1,0.0
287,1.725,11.1,0.0
288,0.75,11.1,0.0
289,1.75,11.1,0.0
290,1.75,11.1,0.0
291,1.0,11.1,0.0
292,1.0,11.1,0.0
293,1.25,11.1,0.0
294,1.5,11.1,0.0
295,1.25,11.1,0.0
296,0.75,11.1,0.0
297,1.0,11.1,0.0
