,AVERAGE_CPU_USAGE,STD_CPU_USAGE,CV_CPU_USAGE,MIN_CPU_USAGE,MAX_CPU_USAGE
TOTAL_USAGE,81.41743421052632,45.21135897042454,257.77768583893186,0.0,100.0
BASE_USAGE,2.839583333333333,4.319076607685439,152.10247774680929,0.75,29.85
SERVER_USAGE,17.827083333333338,9.679548528842771,54.29687149520309,0.75,41.45
WORKFLOW_USAGE,60.75076754385965,31.212733833896333,51.378336596919496,0.975,100.0
