,AVERAGE_CPU_USAGE,AVERAGE_MEMORY_USAGE,AVERAGE_DISK_USAGE,STD_CPU_USAGE,STD_MEMORY_USAGE,STD_DISK_USAGE,CV_CPU_USAGE,CV_MEMORY_USAGE,CV_DISK_USAGE,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE,SENT_BYTES,RECEIVED_BYTES
TOTAL_USAGE,81.41743421052632,19.02315789473684,0.0,45.21135897042454,1.545577487511132,0.0,257.77768583893186,26.656460462871372,0.0,0.0,10.8,0.0,100.0,17.4,0.0,0.0009445501491427422,0.001209997572004795
BASE_USAGE,2.839583333333333,11.218333333333334,0.0,4.319076607685439,0.6105985223987654,0.0,152.10247774680929,5.442863072935065,0.0,0.75,11.1,0.0,29.85,14.5,0.0,7.061287760734558e-06,7.282942533493042e-06
SERVER_USAGE,17.827083333333338,3.2266666666666666,0.0,9.679548528842771,0.08645808232895268,0.0,54.29687149520309,2.6794860225915085,0.0,0.75,14.2,0.0,41.45,14.6,0.0,0.00026148930191993713,0.00037808436900377274
WORKFLOW_USAGE,60.75076754385965,4.57815789473684,0.0,31.212733833896333,0.8485208827834141,0.0,51.378336596919496,18.5341113673448,0.0,0.975,14.1,0.0,100.0,17.4,0.0,0.0006759995594620705,0.0008246302604675293
