,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE
TOTAL_USAGE,100.0,17.4,0.0
BASE_USAGE,29.85,14.5,0.0
SERVER_USAGE,41.45,14.6,0.0
WORKFLOW_USAGE,100.0,17.4,0.0
