,AVERAGE_MEMORY_USAGE,STD_MEMORY_USAGE,CV_MEMORY_USAGE,MIN_MEMORY_USAGE,MAX_MEMORY_USAGE
TOTAL_USAGE,19.02315789473684,1.545577487511132,26.656460462871372,10.8,17.4
BASE_USAGE,11.218333333333334,0.6105985223987654,5.442863072935065,11.1,14.5
SERVER_USAGE,3.2266666666666666,0.08645808232895268,2.6794860225915085,14.2,14.6
WORKFLOW_USAGE,4.57815789473684,0.8485208827834141,18.5341113673448,14.1,17.4
