Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
222,39.625,18.6,0.0
223,29.200000000000003,18.6,0.0
224,26.775,18.6,0.0
225,28.725,18.6,0.0
226,43.7,17.7,0.0
227,49.5,17.9,0.0
228,41.325,18.4,0.0
229,29.925,17.6,0.0
230,34.875,18.4,0.0
231,27.0,18.7,0.0
232,28.225,18.2,0.0
233,35.9,18.6,0.0
234,26.4,17.9,0.0
235,35.025,18.4,0.0
236,29.35,17.6,0.0
237,44.625,17.2,0.0
238,59.75,17.6,0.0
239,73.9,16.6,0.0
240,10.625,16.6,0.0
241,6.5,16.6,0.0
242,4.5,16.6,0.0
243,6.074999999999999,16.6,0.0
244,4.475,16.6,0.0
245,5.074999999999999,16.6,0.0
246,3.275,16.6,0.0
247,18.65,16.6,0.0
248,7.175000000000001,16.6,0.0
249,4.75,16.6,0.0
250,3.775,16.6,0.0
251,4.95,16.6,0.0
252,4.074999999999999,16.6,0.0
253,4.225,16.6,0.0
254,4.925,16.6,0.0
255,11.775,16.6,0.0
256,10.95,16.6,0.0
257,29.275,16.7,0.0
258,9.75,16.7,0.0
259,19.1,16.6,0.0
260,5.324999999999999,16.6,0.0
261,4.5,16.6,0.0
262,4.25,16.6,0.0
263,4.8,16.6,0.0
264,4.55,16.6,0.0
265,5.525,16.6,0.0
266,3.525,16.6,0.0
267,9.55,16.6,0.0
268,14.325,16.6,0.0
269,7.1,16.6,0.0
270,4.7,16.6,0.0
271,6.725,16.6,0.0
272,4.275,16.6,0.0
273,4.5,16.6,0.0
274,4.7,16.6,0.0
275,8.425,16.6,0.0
276,3.825,16.6,0.0
277,7.075,16.6,0.0
278,17.125,16.6,0.0
279,5.675,16.6,0.0
280,4.55,16.6,0.0
281,4.725,16.6,0.0
282,4.025,16.6,0.0
283,4.3,16.6,0.0
284,3.725,16.6,0.0
285,3.25,16.6,0.0
286,4.125,16.6,0.0
287,4.75,16.6,0.0
288,17.1,16.6,0.0
289,4.55,16.6,0.0
290,3.725,16.6,0.0
291,4.025,16.6,0.0
292,4.0,16.6,0.0
293,3.525,16.6,0.0
294,3.5,16.6,0.0
295,4.75,16.6,0.0
296,4.025,16.6,0.0
297,5.225,16.6,0.0
298,16.875,16.6,0.0
299,20.75,16.6,0.0
300,38.3,16.6,0.0
301,18.225,16.5,0.0
302,32.8,11.6,0.0
303,53.525,11.2,0.0
304,12.675,11.2,0.0
305,13.375,11.1,0.0
306,4.25,11.1,0.0
307,3.25,11.1,0.0
