,AVERAGE_CPU_USAGE,AVERAGE_MEMORY_USAGE,AVERAGE_DISK_USAGE,STD_CPU_USAGE,STD_MEMORY_USAGE,STD_DISK_USAGE,CV_CPU_USAGE,CV_MEMORY_USAGE,CV_DISK_USAGE,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE,SENT_BYTES,RECEIVED_BYTES
TOTAL_USAGE,81.35659604519773,24.178502824858754,0.0,49.34935462770511,2.498777906952084,0.0,565.103679554613,27.833784689867272,0.0,0.0,10.5,0.0,100.0,21.8,0.0,0.013926660642027855,0.01563130971044302
BASE_USAGE,5.089583333333334,11.385000000000002,0.0,9.644735493680248,1.1906335848334424,0.0,189.49951031381576,10.457914666960406,0.0,0.75,11.1,0.0,53.525,16.6,0.0,2.125278115272522e-06,2.8703361749649048e-06
SERVER_USAGE,2.9608333333333334,5.218333333333334,0.0,9.917930407922254,0.017950549357114636,0.0,334.97091161009587,0.3439900866901559,0.0,3.25,16.6,0.0,73.9,16.7,0.0,0.000323261134326458,0.0005087116733193398
WORKFLOW_USAGE,73.30617937853107,7.575169491525418,0.0,29.786688726102607,1.2901937727615271,0.0,40.633257630701365,17.03187993621671,0.0,13.1,16.2,0.0,100.0,21.8,0.0,0.013601274229586124,0.015119727700948715
