,STD_CPU_USAGE,STD_MEMORY_USAGE,STD_DISK_USAGE
TOTAL_USAGE,49.34935462770511,2.498777906952084,0.0
BASE_USAGE,9.644735493680248,1.1906335848334424,0.0
SERVER_USAGE,9.917930407922254,0.017950549357114636,0.0
WORKFLOW_USAGE,29.786688726102607,1.2901937727615271,0.0
