,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE
TOTAL_USAGE,0.0,10.5,0.0
BASE_USAGE,0.75,11.1,0.0
SERVER_USAGE,3.25,16.6,0.0
WORKFLOW_USAGE,13.1,16.2,0.0
