Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
227,1.25,10.9,0.0
228,1.25,10.9,0.0
229,2.0,10.9,0.0
230,1.0,10.9,0.0
231,1.25,10.9,0.0
232,1.25,10.9,0.0
233,1.5,10.9,0.0
234,1.25,10.9,0.0
235,2.25,10.9,0.0
236,1.5,10.9,0.0
237,1.25,10.9,0.0
238,1.0,10.9,0.0
239,2.475,10.9,0.0
240,1.0,10.9,0.0
241,1.5,10.9,0.0
242,1.225,10.9,0.0
243,2.225,10.9,0.0
244,1.0,10.9,0.0
245,1.5,10.9,0.0
246,1.5,10.9,0.0
247,1.5,10.9,0.0
248,1.0,10.9,0.0
249,2.0,10.9,0.0
250,1.5,10.9,0.0
251,2.25,10.9,0.0
252,2.975,10.9,0.0
253,2.5,10.9,0.0
254,1.0,10.9,0.0
255,1.25,10.9,0.0
256,1.0,10.9,0.0
257,1.5,10.9,0.0
258,1.5,10.9,0.0
259,2.725,10.9,0.0
260,1.25,10.9,0.0
261,1.75,10.9,0.0
262,1.25,10.9,0.0
263,1.0,10.9,0.0
264,1.0,10.9,0.0
265,1.5,10.9,0.0
266,1.475,10.9,0.0
267,1.5,10.9,0.0
268,1.725,10.9,0.0
269,1.75,10.9,0.0
270,1.5,10.9,0.0
271,1.5,10.9,0.0
272,1.0,10.9,0.0
273,1.5,10.9,0.0
274,1.5,10.9,0.0
275,2.0,10.9,0.0
276,1.0,10.9,0.0
277,2.25,10.9,0.0
278,1.475,10.9,0.0
279,1.75,10.9,0.0
280,1.25,10.9,0.0
281,1.75,10.9,0.0
282,1.5,10.9,0.0
283,2.225,10.9,0.0
284,1.75,10.9,0.0
285,1.25,10.9,0.0
286,1.25,10.9,0.0
287,1.5,10.9,0.0
288,1.5,10.9,0.0
289,1.75,10.9,0.0
290,1.5,10.9,0.0
291,2.0,10.9,0.0
292,1.0,10.9,0.0
293,1.5,10.9,0.0
294,1.5,10.9,0.0
295,1.75,10.9,0.0
296,1.25,10.9,0.0
297,1.75,10.9,0.0
298,1.75,10.9,0.0
299,2.0,10.9,0.0
300,1.0,10.9,0.0
301,2.475,10.9,0.0
302,0.5,10.9,0.0
303,1.75,10.9,0.0
304,1.25,10.9,0.0
305,2.475,10.9,0.0
306,1.25,10.9,0.0
307,2.0,10.9,0.0
308,0.75,10.9,0.0
309,2.25,10.9,0.0
310,1.25,10.9,0.0
311,2.0,10.9,0.0
312,1.0,10.9,0.0
313,2.725,10.9,0.0
314,1.5,10.9,0.0
315,1.75,10.9,0.0
316,1.0,10.9,0.0
317,1.5,10.9,0.0
318,1.5,10.9,0.0
319,1.75,10.9,0.0
320,0.75,10.9,0.0
321,2.5,10.9,0.0
322,1.25,10.9,0.0
323,1.75,10.9,0.0
324,1.5,10.9,0.0
325,1.5,10.9,0.0
326,0.75,10.9,0.0
327,1.0,10.9,0.0
328,1.75,10.9,0.0
329,2.225,10.9,0.0
330,1.0,10.9,0.0
331,2.0,10.9,0.0
332,1.75,10.9,0.0
333,2.0,10.9,0.0
334,0.75,10.9,0.0
335,1.75,10.9,0.0
336,1.5,10.9,0.0
337,1.975,10.9,0.0
338,1.5,10.9,0.0
339,1.75,10.9,0.0
340,1.0,10.9,0.0
341,1.25,10.9,0.0
342,1.25,10.9,0.0
343,2.25,10.9,0.0
344,1.25,10.9,0.0
345,1.75,10.9,0.0
346,1.0,10.9,0.0
347,1.25,10.9,0.0
348,1.5,10.9,0.0
349,2.0,10.9,0.0
350,1.0,10.9,0.0
351,1.75,10.9,0.0
352,1.25,10.9,0.0
353,2.5,10.9,0.0
354,0.75,10.9,0.0
355,2.0,10.9,0.0
356,1.0,10.9,0.0
357,1.75,10.9,0.0
358,1.25,10.9,0.0
359,1.725,10.9,0.0
360,1.25,10.9,0.0
361,1.725,10.9,0.0
362,1.25,10.9,0.0
363,2.25,10.9,0.0
364,1.5,10.9,0.0
365,1.25,10.9,0.0
366,1.5,10.9,0.0
367,1.75,10.9,0.0
368,1.0,10.9,0.0
369,2.475,10.9,0.0
370,6.225,10.9,0.0
371,2.225,10.9,0.0
372,1.0,10.9,0.0
373,2.975,10.9,0.0
374,0.75,10.9,0.0
375,1.5,10.9,0.0
376,1.5,10.9,0.0
377,2.225,10.9,0.0
378,1.25,10.9,0.0
379,1.75,10.9,0.0
380,1.975,10.9,0.0
381,1.725,10.9,0.0
382,1.75,10.9,0.0
383,1.5,10.9,0.0
384,1.25,10.9,0.0
385,2.25,10.9,0.0
386,1.0,10.9,0.0
387,1.75,10.9,0.0
388,1.5,10.9,0.0
389,1.5,10.9,0.0
390,1.5,10.9,0.0
391,1.25,10.9,0.0
392,1.5,10.9,0.0
393,2.0,10.9,0.0
394,1.5,10.9,0.0
395,1.5,10.9,0.0
396,1.975,10.9,0.0
397,1.75,10.9,0.0
398,1.475,10.9,0.0
399,1.5,10.9,0.0
400,1.25,10.9,0.0
401,2.5,10.9,0.0
402,1.0,10.9,0.0
403,2.0,10.9,0.0
404,0.975,10.9,0.0
405,1.5,10.9,0.0
406,1.25,10.9,0.0
407,2.0,10.9,0.0
408,1.25,10.9,0.0
409,1.5,10.9,0.0
410,1.5,10.9,0.0
411,1.975,10.9,0.0
412,0.75,10.9,0.0
413,1.75,10.9,0.0
414,1.5,10.9,0.0
415,1.75,10.9,0.0
416,1.0,10.9,0.0
417,2.225,10.9,0.0
418,1.0,10.9,0.0
419,1.75,10.9,0.0
420,1.975,10.9,0.0
421,1.5,10.9,0.0
422,1.25,10.9,0.0
423,2.25,10.9,0.0
424,1.5,10.9,0.0
425,1.5,10.9,0.0
426,1.0,10.9,0.0
427,1.5,10.9,0.0
428,1.475,10.9,0.0
429,1.5,10.9,0.0
430,1.75,10.9,0.0
431,2.0,10.9,0.0
432,1.0,10.9,0.0
433,1.5,10.9,0.0
434,1.25,10.9,0.0
435,2.25,10.9,0.0
436,1.25,10.9,0.0
437,1.0,10.9,0.0
438,1.5,10.9,0.0
439,1.75,10.9,0.0
440,1.0,10.9,0.0
441,2.225,10.9,0.0
442,1.25,10.9,0.0
443,1.5,10.9,0.0
444,1.0,10.9,0.0
445,1.5,10.9,0.0
446,1.25,10.9,0.0
447,1.5,10.9,0.0
448,1.25,10.9,0.0
449,2.5,10.9,0.0
450,1.0,10.9,0.0
451,2.0,10.9,0.0
452,1.5,10.9,0.0
453,2.0,10.9,0.0
454,1.25,10.9,0.0
455,1.975,10.9,0.0
456,1.25,10.9,0.0
457,2.975,10.9,0.0
458,0.75,10.9,0.0
459,2.0,10.9,0.0
460,0.75,10.9,0.0
461,1.25,10.9,0.0
462,2.75,10.9,0.0
463,1.5,10.9,0.0
464,1.25,10.9,0.0
465,1.75,10.9,0.0
466,1.0,10.9,0.0
467,1.975,10.9,0.0
468,1.25,10.9,0.0
469,1.5,10.9,0.0
470,2.0,10.9,0.0
471,2.0,10.9,0.0
472,0.75,10.9,0.0
473,1.75,10.9,0.0
474,1.25,10.9,0.0
475,2.725,10.9,0.0
476,1.0,10.9,0.0
477,1.5,10.9,0.0
478,1.75,10.9,0.0
479,1.5,10.9,0.0
480,1.75,10.9,0.0
481,2.5,10.9,0.0
482,2.0,10.9,0.0
483,1.5,10.9,0.0
484,1.475,10.9,0.0
485,2.0,10.9,0.0
486,0.5,10.9,0.0
487,2.25,10.9,0.0
488,1.0,10.9,0.0
489,1.5,10.9,0.0
490,2.25,10.9,0.0
491,2.0,10.9,0.0
492,1.0,10.9,0.0
493,3.25,10.9,0.0
494,1.75,10.9,0.0
495,2.0,10.9,0.0
496,1.25,10.9,0.0
497,1.5,10.9,0.0
498,1.0,10.9,0.0
499,2.975,10.9,0.0
500,1.5,10.9,0.0
501,1.25,10.9,0.0
502,1.0,10.9,0.0
503,1.75,10.9,0.0
504,1.25,10.9,0.0
505,1.5,10.9,0.0
506,1.5,10.9,0.0
507,2.25,10.9,0.0
508,1.25,10.9,0.0
509,2.25,10.9,0.0
510,0.75,10.9,0.0
511,1.75,10.9,0.0
512,0.75,10.9,0.0
513,2.0,10.9,0.0
514,2.0,10.9,0.0
515,2.0,10.9,0.0
516,1.25,10.9,0.0
517,1.725,10.9,0.0
518,1.75,10.9,0.0
519,1.75,10.9,0.0
520,1.0,10.9,0.0
521,1.75,10.9,0.0
522,2.225,10.9,0.0
523,1.75,10.9,0.0
524,1.75,10.9,0.0
525,1.5,10.9,0.0
526,1.5,10.9,0.0
527,2.25,10.9,0.0
528,1.5,10.9,0.0
529,2.25,10.9,0.0
530,0.75,10.9,0.0
531,1.5,10.9,0.0
532,1.25,10.9,0.0
533,1.5,10.9,0.0
534,1.5,10.9,0.0
535,2.0,10.9,0.0
536,1.25,10.9,0.0
537,2.0,10.9,0.0
538,0.75,10.9,0.0
539,2.0,10.9,0.0
540,1.75,10.9,0.0
541,1.5,10.9,0.0
542,1.5,10.9,0.0
