,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE
TOTAL_USAGE,100.0,28.5,0.8999999999999915
BASE_USAGE,4.75,12.0,0.0
SERVER_USAGE,0.0,0.0,0.0
WORKFLOW_USAGE,100.0,28.5,0.8999999999999915
