,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE
TOTAL_USAGE,0.0,10.7,0.0
BASE_USAGE,1.25,11.9,0.0
SERVER_USAGE,0.0,0.0,0.0
WORKFLOW_USAGE,0.75,11.1,0.0
