,AVERAGE_CPU_USAGE,AVERAGE_MEMORY_USAGE,AVERAGE_DISK_USAGE,STD_CPU_USAGE,STD_MEMORY_USAGE,STD_DISK_USAGE,CV_CPU_USAGE,CV_MEMORY_USAGE,CV_DISK_USAGE,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE,SENT_BYTES,RECEIVED_BYTES
TOTAL_USAGE,15.341385778767805,24.783938097192095,0.20577407819919055,14.770828288400105,4.194008417579378,0.07902820469200615,136.81122635066748,32.72255043538469,38.405325580176516,0.0,10.7,0.0,100.0,28.5,0.8999999999999915,25.546695115976036,25.067591064609587
BASE_USAGE,2.6200833333333335,11.956000000000001,0.0,0.6830437343651983,0.04963869458396325,0.0,26.069542356739223,0.4151781079287658,0.0,1.25,11.9,0.0,4.75,12.0,0.0,3.9276666939258575e-05,0.00010063778609037399
SERVER_USAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKFLOW_USAGE,12.721302445434471,12.827938097192094,0.20577407819919055,14.087784554034908,4.144369722995415,0.07902820469200615,110.74168399392825,32.30737232745592,38.405325580176516,0.75,11.1,0.0,100.0,28.5,0.8999999999999915,25.546655839309096,25.067490426823497
