,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE
TOTAL_USAGE,0.0,10.3,0.0
BASE_USAGE,0.75,10.6,0.0
SERVER_USAGE,0.0,0.0,0.0
WORKFLOW_USAGE,1.25,10.6,0.0
