,CV_CPU_USAGE,CV_MEMORY_USAGE,CV_DISK_USAGE
TOTAL_USAGE,124.1230775919027,65.45585541376443,0.0
BASE_USAGE,69.15952015911114,0.1692915689133758,0.0
SERVER_USAGE,0.0,0.0,0.0
WORKFLOW_USAGE,54.96355743279155,65.28656384485105,0.0
