,AVERAGE_CPU_USAGE,AVERAGE_MEMORY_USAGE,AVERAGE_DISK_USAGE,STD_CPU_USAGE,STD_MEMORY_USAGE,STD_DISK_USAGE,CV_CPU_USAGE,CV_MEMORY_USAGE,CV_DISK_USAGE,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE,SENT_BYTES,RECEIVED_BYTES
TOTAL_USAGE,62.51336206896552,12.144827586206896,0.0,34.61444434472693,1.0243391789241227,0.0,124.1230775919027,65.45585541376443,0.0,0.0,10.3,0.0,100.0,14.0,0.0,1.3493001461029053e-05,1.8279068171977997e-05
BASE_USAGE,1.7954166666666667,10.603333333333333,0.0,1.2417015515233745,0.01795054935711495,0.0,69.15952015911114,0.1692915689133758,0.0,0.75,10.6,0.0,9.125,10.7,0.0,4.1406601667404175e-06,4.166737198829651e-06
SERVER_USAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKFLOW_USAGE,60.71794540229885,1.5414942528735622,0.0,33.37274279320355,1.0063886295670077,0.0,54.96355743279155,65.28656384485105,0.0,1.25,10.6,0.0,100.0,14.0,0.0,9.352341294288635e-06,1.4112330973148346e-05
