,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE
TOTAL_USAGE,100.0,14.0,0.0
BASE_USAGE,9.125,10.7,0.0
SERVER_USAGE,0.0,0.0,0.0
WORKFLOW_USAGE,100.0,14.0,0.0
