,AVERAGE_CPU_USAGE,AVERAGE_MEMORY_USAGE,AVERAGE_DISK_USAGE
TOTAL_USAGE,62.51336206896552,12.144827586206896,0.0
BASE_USAGE,1.7954166666666667,10.603333333333333,0.0
SERVER_USAGE,0.0,0.0,0.0
WORKFLOW_USAGE,60.71794540229885,1.5414942528735622,0.0
